nominal;rosqueado;flanqueado
1/2;0.67;0.33
3/4;0.7;0.4
1;0.83;0.49
1.1/4 ;0.98;0.61
1.1/2 ;1;0.7
2;1.1;0.83
2.1/2;1.1;0.88
3;1.2;1
3.1/2;1.3;1.15
4;1.4;1.3
5;;1.5
6;;1.7
8;;2.1
10;;2.4
