nominal;rosqueado;flanqueado
1/2;1.1;0.3
3/4;1.34;0.37
1;1.58;0.5
1.1/4;2;0.62
1.1/2;2.25;0.73
2;2.6;0.95
2.1/2;2.8;1.1
3;3.4;1.3
3.1/2;3.7;1.55
4;4;1.8
5;;2.2
6;;2.7
8;;3.7
10;;4.3
