nominal;rosqueado;flanqueado
1/2;1.1;0.34
3/4;1.3;0.4
1;1.6;0.49
1.1/4;2;0.61
1.1/2;2.3;0.7
2;2.6;0.83
2.1/2;2.8;0.88
3;3.4;1
3.1/2;3.7;1.15
4;4;1.3
5;;1.5
6;;1.7
8;;2.1
10;;2.4
