nominal;rosqueado;flanqueado
1/2;0.17;
3/4;0.2;
1;0.25;
1.1/4;0.34;
1.1/2;0.37;
2;0.46;0.8
2.1/2;0.52;0.83
3;0.58;0.85
3.1/2;0.67;0.86
4;0.76;0.88
5;;0.95
6;;0.98
8;;0.98
10;;0.98
