nominal;rosqueado;flanqueado
1/2;0.07;1.5
3/4;0.07;2
1;0.08;2.3
1.1/4;0.11;5.5
1.1/2;0.12;8.1
2;0.14;8.3
2.1/2;0.14;8.8
3;0.16;10.4
3.1/2;0.175;11.6
4;0.19;12.8
5;;16.2
6;;18.6
8;;
10;;
