nominal;rosqueado;flanqueado
1/2;2.4;1.2
3/4;2.7;1.6
1;3.4;2.2
1.1/4;4;3
1.1/2;4.6;3.7
2;5.8;5.2
2.1/2;6.7;6.4
3;8.2;8.3
3.1/2;9.7;9.6
4;11.6;11.6
5;;15.2
6;;19.2
8;;27.4
10;;36.6
