nominal;rosqueado;flanqueado
1/2;6.7;11.6
3/4;7.3;12.2
1;8.8;13.7
1.1/4;11.3;16.5
1.1/2;12.8;18
2;16.5;21.4
2.1/2;18.9;23.5
3;24;28.7
3.1/2;27.25;32.65
4;33.5;36.6
5;;45.7
6;;47.9
8;;49.3
10;;94.5
