nominal;rosqueado;flanqueado
1/2;1.3;0.61
3/4;1.6;0.8
1;2;1
1.1/4;2.7;1.3
1.1/2;3;1.6
2;3.7;2
2.1/2;3.9;2.3
3;5.2;2.9
3.1/2;5.8;3.3
4;6.4;3.7
5;;4.6
6;;5.5
8;;7.3
10;;9.1
