nominal;rosqueado;flanqueado
1/2;4.6;4.6
3/4;4.6;4.6
1;5.2;5.2
1.1/4;5.5;5.5
1.1/2;5.5;5.5
2;5.55;6.4
2.1/2;5.55;6.7
3;5.55;8.5
3.1/2;5.55;10.05
4;5.55;11.6
5;;15.2
6;;19.2
8;;27.4
10;;36.6
