nominal;rosqueado;flanqueado
1/2;0.21;0.14
3/4;0.28;0.18
1;0.39;0.25
1.1/4;0.52;0.34
1.1/2;0.64;0.4
2;0.83;0.52
2.1/2;0.97;0.61
3;1.2;0.8
3.1/2;1.45;0.95
4;1.7;1.1
5;;1.4
6;;1.7
8;;2.3
10;;2.7
